输入文本,生成问题,改写问题
"[['管线线路的选择', '应当符合', '避开城镇规划区、大型站场、飞机场、火车站和国家级自然保护区等区域。当受条件限制，管线需要在上述区域内通过时，必须征得有关部门同意，留出足够的安全距离，并采取相应的安全保护措施']]",管 线 线 路 的 选 择 应 当 符 合 什 么 ？,在选择管线线路时，需要遵循哪些原则？
"[['管线线路的选择', '应当符合', '严禁管线通过铁路或者公路的隧道、桥梁（管线专用公路的隧道、桥梁除外）以及铁路编组站、大型客运站和变电所']]",管 线 线 路 的 选 择 应 当 符 合 什 么 ？,在选择管线线路时，应当遵循哪些规定？
"[['管线线路的选择', '应当符合', '避开地下杂散电流干扰大的区域；当避开确有困难时，需采取符合标准、规范的排流措施']]",管 线 线 路 的 选 择 应 当 符 合 什 么 ？,管线线路的选择应当符合哪些标准？
"[['管线线路的选择', '应当符合', '避开不良工程地质地段；需选择合适的位置和方式穿越']]",管 线 线 路 的 选 择 应 当 符 合 什 么 ？,管线线路的选择应当符合哪些标准？
"[['管线需要在上述区域内通过时', '必须', '征得有关部门同意，留出足够的安全距离，并采取相应的安全保护措施']]",管 线 需 要 在 上 述 区 域 内 通 过 时 需 要 注 意 什 么 ？,在上述区域内铺设管线时，需要注意哪些事项？
"[['避开地下杂散电流干扰大的区域；当避开确有困难时', '需要', '采取符合标准、规范的排流措施']]",避 开 地 下 杂 散 电 流 干 扰 大 的 区 域 应 当 避 开 确 有 困 难 时 ？,在避开地下杂散电流干扰大的区域确实有困难时，应该如何采取符合标准、规范的排流措施？
"[['煤层气管线及管线组件的材质选择', '应当', '综合考虑使用压力、温度、煤层气特性、使用地区、经济性等因素']]",煤 层 气 管 线 及 管 线 组 件 的 材 质 选 择 应 当 怎 样 ？,煤层气管线及管线组件的材质选择应当考虑哪些因素？
"[['煤层气管线及管线组件的材质选择', '应当符合', '采用材料的强度、寿命满足安全要求，煤层气集输钢质管道的设计符合《油气集输设计规范》（GB50350）的有关规定，煤层气采气聚乙烯管道的设计符合《聚乙烯燃气管道工程技术规程》（CJJ63）的有关规定']]",煤 层 气 管 线 及 管 线 组 件 的 材 质 选 择 符 合 什 么 规 定 ？,煤层气管线及管线组件的材质选择应当符合哪些规定？
"[['煤层气管线及管线组件的材质选择', '应当符合', '材料生产企业按照相应标准生产，并提供产品质量证明书']]",煤 层 气 管 线 及 管 线 组 件 的 材 质 选 择 应 当 符 合 什 么 ？,煤层气管线及管线组件的材质选择应当符合什么标准？
"[['煤层气管线及管线组件的材质选择', '应当符合', '选用的管线组件符合安全标准并有质量证明书']]",煤 层 气 管 线 及 管 线 组 件 的 材 质 选 择 应 当 符 合 什 么 ？,煤层气管线及管线组件的材质选择应当符合哪些标准？
"[['煤层气管线及管线组件的材质选择', '应当符合', '管线材质满足当地的抗震要求']]",煤 层 气 管 线 及 管 线 组 件 的 材 质 选 择 应 当 符 合 什 么 ？,煤层气管线及管线组件的材质选择应当符合什么要求？
"[['煤层气管线及管线组件的材质选择', '应当符合', '采用钢管和钢质组件时，应当根据强度等级、管径、壁厚、焊接方式及使用环境温度等因素提出材料韧性要求']]",煤 层 气 管 线 及 管 线 组 件 的 材 质 选 择 应 当 符 合 什 么 ？,煤层气管线及管线组件的材质选择应当符合哪些因素？
"[['煤层气管线及管线组件的材质选择', '应当符合', '穿越铁路、公路、大型河流及人口稠密区时，采用钢管，管线组件严禁使用铸铁件。']]",煤 层 气 管 线 及 管 线 组 件 的 材 质 选 择 应 当 符 合 什 么 ？,煤层气管线及管线组件的材质选择应当符合什么标准？
"[['煤层气采气聚乙烯管道', '应当符合', '符合《聚乙烯燃气管道工程技术规程》（CJJ63）的有关规定']]",煤 层 气 采 气 聚 乙 烯 管 道 应 当 符 合 什 么 ？,煤层气采气聚乙烯管道需要遵循哪些规定？
"[['煤层气集输钢质管道', '应当符合', '符合《油气集输设计规范》（GB50350）的有关规定']]",煤 层 气 集 输 钢 质 管 道 应 当 符 合 什 么 ？,煤层气集输钢质管道需要遵循哪些规定？
"[['材料生产企业', '需要', '提供产品质量证明书']]",材 料 生 产 企 业 需 要 什 么 ？,请问材料生产企业需要提供什么？
"[['穿越铁路、公路、大型河流及人口稠密区时，采用钢管，管线组件', '严禁', '使用铸铁件']]",请 问 穿 越 铁 路 、 公 路 、 大 型 河 流 及 人 口 稠 密 区 时 ， 采 用 钢 管 还 是 管 线 组 件 ？,在穿越铁路、公路、大型河流及人口稠密区时，钢管和管线组件哪个更被禁止使用？
"[['管线组件', '应当符合', '符合安全标准并有质量证明书']]",管 线 组 件 应 当 符 合 什 么 ？,管线组件应当符合哪些标准？
"[['管线材质', '满足', '当地的抗震要求']]",管 线 材 质 满 足 哪 些 条 件 ？,请问管线材质需要满足哪些条件才能符合当地的抗震要求？
"[['钢管和钢质组件', '应当符合', '根据强度等级、管径、壁厚、焊接方式及使用环境温度等因素提出材料韧性要求']]",钢 管 和 钢 质 组 件 应 当 符 合 什 么 ？,钢管和钢质组件在设计和选择时应考虑哪些因素来确定其材料韧性要求？
"[['煤层气集输管线', '应当', '采用埋地方式敷设']]",煤 层 气 集 输 管 线 应 当 怎 么 做 ？,煤层气集输管线应该采用哪种方式敷设？
"[['管线敷设', '应当', '满足抗震要求']]",管 线 敷 设 应 当 如 何 ？,管线敷设应当满足哪些抗震要求？
"[['煤层气集输管线', '允许', '采用土堤、地面、架空等方式敷设']]",煤 层 气 集 输 管 线 允 许 什 么 ？,煤层气集输管线可以采用哪些方式进行敷设？
"[['埋地管线坡度', '应当', '根据地形的要求，采用弹性敷设']]",埋 地 管 线 坡 度 应 当 怎 么 做 ？,请问埋地管线的坡度应该如何根据地形的要求进行弹性敷设？
"[['管线埋地深度', '应当', '在冻土层以下']]",管 线 埋 地 深 度 应 该 如 何 ？,管线埋地深度应该满足什么条件？
"[['覆土层最小厚度、管沟边坡和沟底宽度', '应当符合', '国家有关输气管道工程设计规范标准的规定']]",覆 土 层 最 小 厚 度 应 当 符 合 什 么 ？,覆土层的最小厚度应当符合哪些国家输气管道工程设计规范标准的规定？
"[['管线在交叉点两侧各延伸10米以上的管段', '应当', '采用相应的最高绝缘等级']]",管 线 在 交 叉 点 两 侧 各 延 伸 10 米 以 上 的 管 段 应 当 怎 么 做 ？,在管线交叉点两侧各延伸10米以上的管段，应该采取什么措施？
"[['管线与其他管线交叉时，其垂直净距', '不得', '小于0.3米']]",管 线 与 其 他 管 线 交 叉 时 ， 其 垂 直 净 距 是 多 少 ？,管线与其他管线交叉时，其垂直净距不得小于多少？
"[['管线与电力、通信电缆交叉时，其垂直净距', '不得', '小于0.5米']]",管 线 与 电 力 、 通 信 电 缆 交 叉 时 ， 其 垂 直 净 距 是 多 少 ？,请问管线与电力、通信电缆交叉时的垂直净距应为多少？
"[['曲率半径的计算', '应当符合', '符合国家有关输气管道工程设计规范标准的规定']]",请 问 曲 率 半 径 的 计 算 符 合 什 么 ？,请问曲率半径的计算需要符合哪些国家输气管道工程设计规范标准？
"[['管线改变方向时', '应当', '优先采用弹性敷设']]",管 线 改 变 方 向 时 应 当 怎 么 做 ？,管线改变方向时，应该优先采用什么方法？
"[['垂直面上弹性敷设管线的曲率半径', '应当', '大于管线在自重作用下产生的挠度曲线的曲率半径']]",你 知 道 垂 直 面 上 弹 性 敷 设 管 线 的 曲 率 半 径 的 大 小 吗 ？,请问垂直面上弹性敷设管线的曲率半径应该大于多少？
"[['弯头', '应当符合', '曲率半径应当大于或者等于外直径的4倍，并便于清管器或者检测仪器顺利通过']]",弯 头 应 当 符 合 什 么 ？,弯头应当符合什么条件？
"[['弯管上的环向焊缝', '应当', '进行X射线检查']]",弯 管 上 的 环 向 焊 缝 应 当 怎 么 做 ？,弯管上的环向焊缝应该进行哪种检查？
"[['现场冷弯弯管', '应当符合', '最小曲率半径应当符合国家有关输气管道工程设计规范标准的规定']]",现 场 冷 弯 弯 管 应 当 符 合 什 么 ？,请问现场冷弯弯管应当符合什么规定？
"[['管子对接偏差', '不得', '大于3度']]",管 子 对 接 偏 差 的 不 得 ？,管子对接偏差的最大允许值是多少度？
"[['管线', '不得', '采用褶皱弯或者虾米弯']]",管 线 不 得 使 用 什 么 技 术 ？,请问管线在安装时不得采用哪些技术？
"[['管线', '不得', '采用斜口连接']]",管 线 不 得 使 用 斜 口 连 接 ？,管线为什么不能使用斜口连接？
"[['管线穿、跨越铁路、公路、河流时', '应当符合', '国家油气输送管道穿越工程设计规范标准和油气输送管道跨越工程设计规范标准的有关规定']]",管 线 穿 、 跨 越 铁 路 、 公 路 、 河 流 时 应 当 符 合 什 么 ？,管线穿、跨越铁路、公路、河流时应当符合哪些规定？
"[['里程桩', '允许', '与阴极保护测试桩结合设置']]",里 程 桩 允 许 怎 么 设 置 ？,请问里程桩可以如何与阴极保护测试桩结合设置？
"[['管线沿线', '应当', '设置里程桩、转角桩、标志桩和警示牌等永久性标志']]",管 线 沿 线 应 当 如 何 设 置 ？,管线沿线应当如何设置永久性标志？
"[['里程桩', '应当', '沿气流前进方向从管线起点至终点每500米连续设置']]",里 程 桩 应 当 如 何 设 置 ？,请问里程桩应该如何沿气流前进方向从管线起点至终点每500米连续设置？
"[['钢制埋地集输管线的设计', '应当符合', '符合国家有关防腐绝缘与阴极保护标准的有关规定']]",钢 制 埋 地 集 输 管 线 的 设 计 应 当 符 合 什 么 ？,钢制埋地集输管线的设计应当符合哪些国家规定？
"[['管线阴级保护达不到规定要求的，经检测确认防腐层发生老化时，煤层气企业', '应当', '及时进行防腐层大修']]",管 线 阴 级 保 护 达 不 到 规 定 要 求 的 ， 经 检 测 确 认 防 腐 层 发 生 老 化 时 ， 煤 层 气 企 业 应 当 如 何 做 ？,当管线阴极保护未达到规定标准，且检测发现防腐层老化时，煤层气企业应该如何处理？
"[['裸露或者架空的管线', '应当', '有良好的防腐绝缘层']]",裸 露 或 者 架 空 的 管 线 应 当 做 什 么 ？,裸露或者架空的管线应该具备什么样的保护措施？
"[['管线', '应当', '定期排水']]",管 线 应 当 如 何 保 养 ？,请问管线应该如何进行定期排水保养？
"[['站场的进出站两端管线', '应当', '加装绝缘接头']]",站 场 的 进 出 站 两 端 管 线 应 当 怎 么 做 ？,请问站场的进出站两端管线应该如何加装绝缘接头？
"[['煤层气企业', '应当', '依据煤层气田地面建设总体规划以及所在地区城镇规划、集输管线走向，结合地形、地貌、工程和水文地质条件，统一规划站场的选址及布局，并远离地质灾害易发区，在站场服务年限内避免受采空区、采动区的影响，确保站场安全']]",请 问 煤 层 气 企 业 应 当 做 什 么 站 场 ？,煤层气企业在进行站场选址和布局时，应当遵循哪些原则以确保站场的安全？
"[['站场', '应当', '布置在人员集中场所及明火或者散发火花地点全年最小频率风向的上风侧']]",站 场 应 当 布 置 在 什 么 地 方 ？,请问站场应该布置在哪些地方？
"[['站场主要设施与周边有关设施的安全距离应当符合下列要求', '应当符合', '与居民区、村镇、公共设施的防火间距不小于30米']]",站 场 主 要 设 施 与 周 边 有 关 设 施 的 安 全 距 离 应 当 符 合 下 列 要 求 ？,请问站场主要设施与周边有关设施的安全距离有哪些具体要求？
"[['站场主要设施与周边有关设施的安全距离应当符合下列要求', '应当符合', '与相邻厂矿企业、35千伏及以上变电所的防火间距不小于30米']]",站 场 主 要 设 施 与 周 边 有 关 设 施 的 安 全 距 离 应 当 符 合 下 列 要 求 ？,请问站场主要设施与周边有关设施的安全距离有哪些具体要求？
"[['站场主要设施与周边有关设施的安全距离应当符合下列要求', '应当符合', '与公路的间距不小于10米']]",站 场 主 要 设 施 与 周 边 有 关 设 施 的 安 全 距 离 应 当 符 合 下 列 要 求 ？,请问站场主要设施与周边有关设施的安全距离有哪些具体要求？
"[['站场主要设施与周边有关设施的安全距离应当符合下列要求', '应当符合', '与铁路线的间距不小于20米']]",站 场 主 要 设 施 与 周 边 有 关 设 施 的 安 全 距 离 应 当 符 合 下 列 要 求 ？,请问站场主要设施与周边有关设施的安全距离有哪些具体要求？
"[['站场主要设施与周边有关设施的安全距离应当符合下列要求', '应当符合', '与架空通信线、架空电力线的间距不小于1.5倍杆高']]",站 场 主 要 设 施 与 周 边 有 关 设 施 的 安 全 距 离 应 当 符 合 下 列 要 求 ？,请问站场主要设施与周边有关设施的安全距离有哪些具体要求？
"[['站场主要设施与周边有关设施的安全距离应当符合下列要求', '应当符合', '与采石场等爆炸作业场地的间距不小于300米']]",站 场 主 要 设 施 与 周 边 有 关 设 施 的 安 全 距 离 应 当 符 合 下 列 要 求 ？,请问站场主要设施与周边有关设施的安全距离有哪些具体要求？
"[['站场内平面布置、防火安全、场内道路交通及与外界公路的连接', '应当符合', '《石油天然气工程设计防火规范》（GB50183）的有关规定。']]",站 场 内 平 面 布 置 符 合 什 么 ？,站场内的平面布置需要符合哪一规范的有关规定？
"[['站场的防洪设计标准', '应当', '综合考虑站场规模和受淹损失等因素']]",站 场 的 防 洪 设 计 标 准 应 当 怎 么 做 ？,站场的防洪设计标准应该如何制定？
"[['集气站重现期', '满足', '10年至25年']]",集 气 站 重 现 期 满 足 什 么 条 件 ？,请问集气站重现期满足的条件是什么？
"[['中心处理站重现期', '满足', '25年至50年']]",中 心 处 理 站 重 现 期 的 满 足 程 度 怎 么 样 ？,中心处理站的重现期满足25年至50年的标准吗？
"[['放空管', '应当', '位于站场生产区最小频率风向的上风侧']]",请 问 放 空 管 应 该 位 于 哪 里 ？,请问放空管应该位于哪里？
"[['其高度', '应当', '比附近建（构）筑物高出2米以上，且总高度不得小于10米']]",请 问 其 高 度 的 总 高 度 是 多 少 ？,请问该建筑物的总高度需要达到多少米？
"[['放空管距站场的距离', '应当', '一般不小于10米']]",你 知 道 放 空 管 距 站 场 的 距 离 是 多 少 吗 ？,请问放空管与站场之间的距离通常应达到多少米？
"[['当放空量大于12000立方米/小时且等于或者小于40000立方米/小时时，放空管距站场的距离', '应当', '不小于40米']]",我 想 知 道 当 放 空 量 大 于 12000 立 方 米 / 小 时 且 等 于 或 者 小 于 4000 吨 重 的 时 候 ， 放 空 管 距 站 场 的 距 离 是 多 少 ？,当放空量大于12000立方米/小时且等于或者小于40000立方米/小时时，放空管距站场的距离应为多少？
"[['站场设备', '应当', '由具备国家规定资质的企业生产']]",站 场 设 备 应 当 由 什 么 公 司 生 产 ？,请问站场设备应当由哪些公司生产？
"[['站场设备', '应当', '有产品合格证书并满足安全要求']]",站 场 设 备 应 当 是 什 么 ？,请问站场设备应当具备哪些条件？
"[['煤层气企业', '应当', '定时记录设备的运转状况，定期分析主要设备的运行状态']]",请 问 煤 层 气 企 业 应 当 做 什 么 ？,请问煤层气企业应当如何定期记录和分析设备运转状况？
"[['安全阀和压力表', '应当', '定期进行校验']]",你 知 道 安 全 阀 和 压 力 表 应 当 怎 么 做 吗 ？,请问安全阀和压力表应当如何定期进行校验？
"[['调节阀、减压阀、高（低）压泄压阀等主要阀门', '应当', '按照相应运行和维护规程进行操作和维护，并按照规定定期校验']]",调 节 阀 、 减 压 阀 、 高 （ 低 ） 压 泄 压 阀 等 主 要 阀 门 应 当 怎 么 做 ？,调节阀、减压阀、高（低）压泄压阀等主要阀门应该如何正确操作和维护，并按照规定进行定期校验？
"[['煤层气企业', '应当', '在站场的进口处设置明显的安全警示牌、进站须知和逃生路线图']]",请 问 煤 层 气 企 业 应 当 做 什 么 ？,请问煤层气企业应当在站场的进口处设置哪些安全设施？
"[['煤层气企业', '应当', '并应当向进入站场的外来人员告知安全注意事项等']]",请 问 煤 层 气 企 业 应 当 做 什 么 ？,请问煤层气企业应当向进入站场的外来人员告知哪些安全注意事项？
"[['站场', '应当', '设置不低于1.7米的非燃烧材料围墙或者围栏，并设置安全警示标志。']]",站 场 应 当 怎 么 做 ？,站场应当如何设置安全围墙或围栏，并放置安全警示标志？
"[['站场内大于或者等于35千伏的变配电站', '应当', '设置不低于1.5米的围栏']]",站 场 内 大 于 或 者 等 于 35 千 伏 的 变 配 电 站 应 当 怎 么 做 ？,35千伏及以上的变配电站需要设置什么样的围栏？
"[['站场的供电负荷和供电电源', '应当', '根据《石油天然气安全规程》（AQ2012）的有关规定确定']]",站 场 的 供 电 负 荷 和 供 电 电 源 应 当 怎 么 做 ？,根据《石油天然气安全规程》（AQ2012）的有关规定，站场的供电负荷和供电电源应该如何确定？
"[['用电设备及线路走向', '应当', '合理']]",用 电 设 备 及 线 路 走 向 应 当 怎 么 做 ？,请问用电设备及线路走向应该如何合理规划？
"[['导体选择及线路敷设', '应当', '符合安全规定']]",导 体 选 择 及 线 路 敷 设 应 当 符 合 什 么 规 定 ？,导体选择及线路敷设应当遵循哪些安全规定？
"[['线路', '应当', '无老化、破损和裸露现象']]",你 知 道 线 路 应 当 做 什 么 吗 ？,请问线路应当保持哪些状态？
"[['配电室', '应当', '有应急照明']]",请 问 配 电 室 应 当 用 于 什 么 ？,请问配电室应当用于什么？
"[['配电室门', '应当', '外开，保持通风良好，并安装挡鼠板']]",请 问 配 电 室 门 应 当 外 开 ？,请问配电室门应当如何安装以确保通风良好并防止老鼠进入？
"[['电缆沟', '应当', '无积水，地沟应当封堵']]",你 知 道 电 缆 沟 应 当 有 积 水 吗 ？,请问电缆沟是否应该保持无积水，并且地沟是否应该被正确封堵？
"[['地沟可燃气体浓度', '应当', '定期检验，避免沟内窜气']]",请 问 地 沟 可 燃 气 体 浓 度 应 当 怎 么 做 ？,地沟可燃气体浓度应该如何定期检验以避免沟内窜气？
"[['煤层气企业', '应当', '编制作业方案，制定安全技术措施']]",煤 层 气 企 业 应 当 如 何 作 业 ？,煤层气企业在进行作业时，需要遵循哪些安全措施和作业方案？
"[['强度试验和气密试验时发现管线泄漏的，煤层气企业', '应当', '查明原因，制定修理方案和安全措施后方可进行修理']]",强 度 试 验 和 气 密 试 验 时 发 现 管 线 泄 漏 的 ， 煤 层 气 企 业 应 当 如 何 修 理 ？,在强度试验和气密试验中发现管线泄漏时，煤层气企业应该如何处理？
"[['压缩机', '应当', '允许煤层气组分、进气压力、进气温度和进气量有一定的波动范围']]",压 缩 机 应 当 允 许 什 么 ？,请问压缩机在运行时，煤层气组分、进气压力、进气温度和进气量可以有一定的波动范围吗？
"[['压缩机启动及事故停车安全联锁', '应当', '完好']]",压 缩 机 启 动 及 事 故 停 车 安 全 联 锁 应 当 如 何 保 存 ？,请问，压缩机启动及事故停车安全联锁应该如何妥善保存？
"[['压缩机的吸入口', '应当', '有防止空气进入的措施']]",压 缩 机 的 吸 入 口 应 当 做 什 么 ？,请问压缩机的吸入口应该采取哪些措施来防止空气进入？
"[['压缩机的各级进口', '应当', '设凝液分离器或者机械杂质过滤器']]",压 缩 机 的 各 级 进 口 应 当 怎 么 做 ？,请问压缩机的各级进口应当设置什么设备？
"[['分离器', '应当', '有排液、液位控制和高液位报警及放空等设施']]",请 问 分 离 器 应 当 用 于 什 么 ？,分离器应当具备哪些设施？
"[['在煤层气脱水装置前', '应当', '设置分离器']]",在 煤 层 气 脱 水 装 置 前 应 当 设 置 什 么 ？,在煤层气脱水装置前应该设置什么？
"[['脱水器前', '应当', '设置安全阀']]",脱 水 器 前 应 当 怎 么 做 ？,在脱水器前应该设置什么？
"[['压缩机的出口管线上的截断阀前', '应当', '设置安全阀']]",压 缩 机 的 出 口 管 线 上 的 截 断 阀 前 应 当 怎 么 做 ？,请问在压缩机的出口管线上的截断阀前应该设置什么？
"[['煤层气脱水装置中，气体管线', '应当', '选用全启式安全阀']]",煤 层 气 脱 水 装 置 中 ， 气 体 管 线 应 当 怎 么 保 养 ？,煤层气脱水装置中，气体管线应该怎样保养？
"[['液体管线', '应当', '选用微启式安全阀']]",液 体 管 线 应 当 怎 么 做 ？,液体管线在安装时应该选择哪种类型的安全阀？
"[['安全阀弹簧', '应当', '具有可靠的防腐蚀性能或者必要的防腐保护措施']]",安 全 阀 弹 簧 应 当 具 有 什 么 ？,安全阀弹簧应当具备哪些特性？
"[['含硫化氢的煤层气', '应当', '脱硫、脱水']]",含 硫 化 氢 的 煤 层 气 应 当 怎 么 做 ？,含硫化氢的煤层气应该如何处理？
"[['因管输产生游离水', '应当', '先脱水、后脱硫']]",因 管 输 产 生 游 离 水 应 当 怎 么 脱 水 ？,因管输产生游离水，应该如何先进行脱水处理？
"[['在煤层气处理及输送过程中使用化学药剂时，煤层气企业', '应当', '严格执行技术操作规程和措施要求']]",在 煤 层 气 处 理 及 输 送 过 程 中 使 用 化 学 药 剂 的 企 业 应 当 遵 循 什 么 ？,在煤层气处理及输送过程中使用化学药剂时，煤层气企业应当遵循哪些技术操作规程和措施要求？
"[['在煤层气处理及输送过程中使用化学药剂时，煤层气企业', '应当', '落实防冻伤、防中毒和防化学伤害等措施']]",在 煤 层 气 处 理 及 输 送 过 程 中 使 用 化 学 药 剂 的 企 业 应 当 注 意 什 么 ？,在煤层气处理及输送过程中使用化学药剂时，煤层气企业应当注意哪些安全措施？
"[['煤层气企业', '应当', '在脱硫溶液系统中设过滤器']]",煤 层 气 企 业 应 当 怎 么 做 ？,煤层气企业应当在脱硫溶液系统中设置什么？
"[['进脱硫装置的原料气总管线和再生塔', '应当', '设安全阀']]",进 脱 硫 装 置 的 原 料 气 总 管 线 和 再 生 塔 应 当 怎 么 做 ？,进脱硫装置的原料气总管线和再生塔应该设置什么安全措施？
"[['液硫储罐最高液位之上', '应当', '设置灭火蒸汽管']]",液 硫 储 罐 最 高 液 位 之 上 应 当 怎 么 做 ？,液硫储罐在最高液位之上应该如何设置灭火蒸汽管？
"[['储罐四周', '应当', '设置闭合的不燃烧材料防护墙']]",储 罐 四 周 应 当 怎 么 做 ？,储罐四周应当设置什么样的防护墙？
"[['防护墙', '应当', '为1米']]",防 护 墙 的 高 度 是 多 少 ？,请问防护墙的高度应该是多少？
"[['防护墙', '应当', '设置相应的消防设施']]",防 护 墙 应 当 如 何 保 护 ？,请问防护墙应当如何设置相应的消防设施？
"[['在含硫容器内作业时，煤层气企业', '应当', '进行有毒气体测试']]",在 含 硫 容 器 内 作 业 时 ， 煤 层 气 企 业 应 当 注 意 什 么 ？,在含硫容器内作业时，煤层气企业应当注意什么？
"[['在含硫容器内作业时，煤层气企业', '设置', '正压式空气呼吸器']]",你 知 道 在 含 硫 容 器 内 作 业 时 ， 煤 层 气 企 业 的 设 置 吗 ？,请问在含硫容器内作业时，煤层气企业需要设置什么安全设备？
"[['集输系统投产', '应当符合', '管线与设备的严密性试验合格']]",集 输 系 统 投 产 符 合 什 么 ？,集输系统投产需要满足什么条件？
"[['集输系统投产', '应当符合', '各单体设备、分系统试运行正常，设备工作状态良好，集输系统整体联合试运行正常']]",集 输 系 统 投 产 符 合 什 么 ？,集输系统投产需要满足哪些条件？
"[['集输系统投产', '应当符合', '集气管线全线进行试压、清管']]",集 输 系 统 投 产 符 合 什 么 ？,集输系统投产需要满足哪些条件？
"[['集输系统投产', '应当符合', '制定安全措施和应急预案']]",集 输 系 统 投 产 符 合 什 么 ？,集输系统投产需要符合哪些安全措施和应急预案？
"[['管线投运前，煤层气企业', '应当', '对管线内的空气进行置换，避免空气与煤层气混合']]",管 线 投 运 前 ， 煤 层 气 企 业 应 当 怎 么 做 ？,在管线投运前，煤层气企业应该如何处理管线内的空气，以防止空气与煤层气混合？
"[['置换过程中的混合气体', '应当', '利用放空系统放空']]",置 换 过 程 中 的 混 合 气 体 应 当 怎 么 做 ？,在置换过程中，混合气体应该如何处理？
"[['置换过程中的混合气体', '应当', '隔离区并禁止烟火']]",置 换 过 程 中 的 混 合 气 体 应 当 怎 么 做 ？,在置换过程中，混合气体应该如何处理？
"[['进行氮气置换时', '应当', '不低于5摄氏度']]",进 行 氮 气 置 换 时 的 温 度 应 该 是 多 少 ？,进行氮气置换时，温度应该控制在多少度以上？
"[['排放氮气时', '应当', '防止大量氮气聚集造成人员窒息，管线中氮气量过大时应当提前进行多点排放']]",排 放 氮 气 时 应 当 注 意 什 么 ？,排放氮气时需要注意什么？
"[['对管线的监控', '应当符合', '对重要工艺参数及工作状态进行连续检测和记录']]",对 管 线 的 监 控 符 合 什 么 ？,对管线的监控应当符合哪些要求？
"[['对管线的监控', '应当符合', '根据沿线情况定期对集输管线进行巡线检查，但每季度至少徒步巡查一次']]",对 管 线 的 监 控 符 合 什 么 ？,对管线的监控应当符合什么标准？
"[['对管线的监控', '应当符合', '定时巡查线路分水器，及时排放污水，并有防止冰冻的措施（四）在雨季、汛期或者其他灾害发生后加密巡查']]",对 管 线 的 监 控 应 当 符 合 什 么 ？,对管线的监控应当符合哪些具体要求？
"[['对管线的监控', '应当符合', '定期对装有阴极保护设施的管线保护电位进行测试']]",对 管 线 的 监 控 应 当 符 合 什 么 ？,对管线的监控应当符合什么标准？
"[['对站场的监控', '应当符合', '压力、计量仪表灵敏准确，设备、管汇无渗漏。根据集输流程分布情况，在站场设置限压放空和压力高、低限报警设施']]",对 站 场 的 监 控 符 合 什 么 ？,对站场的监控应当符合哪些标准？
"[['对站场的监控', '应当符合', '定时巡查站场内的分离器，及时将污水排放，并有防止冰冻的措施']]",对 站 场 的 监 控 应 当 符 合 什 么 ？,对站场的监控应当符合哪些具体要求？
"[['对站场的监控', '应当符合', '站场工艺装置区、计量工作间等位于爆炸危险区域内的电气设备及照明采用防爆电器，其选型、安装和电气线路的布置符合《爆炸和火灾危险环境电力装置设计规范》（GB50058）的规定']]",对 站 场 的 监 控 符 合 什 么 ？,对站场的监控应当符合什么规定？
"[['维护与抢修时', '应当', '制定相应的维护与抢修安全措施和实施方案']]",维 护 与 抢 修 时 应 当 如 何 ？,在维护与抢修时，我们应该制定哪些安全措施和实施方案？
"[['维护与抢修时', '应当', '合理配备专职维护与抢修队伍']]",维 护 与 抢 修 时 应 当 怎 么 做 ？,在维护与抢修时，应该如何合理地配备专职的维护与抢修队伍？
"[['维护与抢修时', '应当', '抢修物资装备']]",维 护 与 抢 修 时 应 当 做 什 么 ？,在维护与抢修时，我们应该准备哪些抢修物资装备？
"[['维护与抢修现场', '应当', '采取保护措施，划分安全界限，设置警戒线、警示牌。进入作业场地的人员应当穿戴劳动防护用品。与作业无关的人员不得进入警戒区内']]",维 护 与 抢 修 现 场 应 当 如 何 保 护 ？,在维护与抢修现场，我们应该采取哪些保护措施来确保安全？
"[['压缩站厂房建筑', '应当符合', '压缩机地基基础满足设计载荷要求']]",压 缩 站 厂 房 建 筑 应 当 符 合 什 么 ？,压缩站厂房建筑应当符合什么要求？
"[['压缩站厂房建筑', '应当符合', '阀组间、压缩机等厂房使用耐火材料，采用不发火地面']]",压 缩 站 厂 房 建 筑 应 当 符 合 什 么 ？,压缩站厂房建筑应当符合哪些标准？
"[['压缩站厂房建筑', '应当符合', '阀组间、压缩机等厂房的门窗向外开启，建筑面积大于100平方米的厂房至少有两个疏散门，并保持通道畅通']]",压 缩 站 厂 房 建 筑 应 当 符 合 什 么 ？,压缩站厂房建筑应当符合哪些安全规定？
"[['压缩站厂房建筑', '应当符合', '阀组间、压缩机等厂房设置通风设备']]",压 缩 站 厂 房 建 筑 应 当 符 合 什 么 ？,压缩站厂房建筑应当符合哪些标准？
"[['压缩工艺流程设计', '应当', '根据输气系统工艺要求，满足气体的除尘、分液、增压、冷却和机组的启动、停机、正常操作及安全保护等要求']]",压 缩 工 艺 流 程 设 计 应 当 如 何 ？,在压缩工艺流程设计中，我们应当如何确保满足气体的除尘、分液、增压、冷却以及机组的启动、停机、正常操作和安全保护等要求？
"[['煤层气处理后', '应当', '符合压缩机组对气质的技术要求']]",煤 层 气 处 理 后 应 当 做 什 么 ？,煤层气处理后需要达到什么标准？
"[['压缩机', '应当符合', '压缩机组有紧急停车和安全保护联锁装置']]",压 缩 机 应 当 符 合 什 么 ？,压缩机组应当符合哪些安全要求？
