输入文本,生成问题,参考问题,改写问题
"[['嘉峪关宾馆', '酒店地址', '嘉峪关新华北路1号']]",请 问 嘉 峪 关 宾 馆 的 具 体 地 址 在 哪 里 ？,谁能告诉我嘉峪关宾馆具体地址是哪里？,请问嘉峪关宾馆的地址在哪里？
"[['H（字母符号）', '最早出现', '公元前1000年']]",你 知 道 H 是 什 么 时 候 出 现 的 吗 ？,H最早出现在什么时候,请问H这个字母符号最早出现于什么时候？
"[['落语家', '类似', '中国的相声、说书人']]",落 语 家 类 似 于 什 么 ？,落语家类似哪本书？,落语家类似于中国的相声、说书人，对吗？
"[['Diend驱动器', '制造者', '大修卡']]",Diend 驱 动 器 是 谁 制 造 的 ？,Diend驱动器的制造者是哪个呢,请问Diend 驱动器的制造者是谁？
"[['The Day（游戏名）', '游戏特征', '动作策略']]",The Day 的 游 戏 特 征 是 什 么 ？,The Day这个游戏有哪些特征？,请问 The Day 的游戏特征是什么？
"[['2015湘江音乐节', '直播平台', '酷狗LIVE']]",你 知 道 2015 湘 江 音 乐 节 的 直 播 平 台 是 什 么 吗 ？,2015湘江音乐节在什么平台直播,2015湘江音乐节的直播平台是哪个？
"[['气生菌丝体', '繁殖方式', '繁殖菌丝']]",气 生 菌 丝 体 的 繁 殖 方 式 是 什 么 ？,你们知道气生菌丝体是如何繁殖的吗？,气生菌丝体是通过什么方式进行繁殖的？
"[['教育方法', '实现', '教育目的，完成教育任务']]",教 育 方 法 是 通 过 什 么 实 现 的 ？,教育方法是如何实现的？,教育方法是通过什么来实现教育目的和完成教育任务的？
"[['中央电视台中文国际频道', '频道总监', '李欣雁']]",中 央 电 视 台 中 文 国 际 频 道 的 频 道 总 监 是 谁 ？,中央电视台中文国际频道的总监是哪个,请问中央电视台中文国际频道的频道总监是谁？
"[['暗恒星', '亮度', '仅相当于太阳亮度的百万分之一']]",暗 恒 星 的 亮 度 是 多 少 ？,暗恒星是多少的亮度啊？,请问暗恒星的亮度相当于太阳亮度的多少分之一？
"[['上市公司发行可转换公司债券实施办法', '废止时间', '2006年5月8日']]",上 市 公 司 发 行 可 转 换 公 司 债 券 实 施 办 法 是 什 么 时 候 废 止 的 ？,上市公司发行可转换公司债券实施办法的废止时间是什么时候,请问上市公司发行可转换公司债券实施办法是哪一天废止的？
"[['严亮祖', '岳父', '吕清非']]",你 知 道 严 亮 祖 的 岳 父 是 谁 吗 ？,严亮祖的岳父是谁呀,请问严亮祖的岳父是谁？
"[['On Your Mark', '副导演', 'Satoshi Aritomi']]",谁 是 On Your Mark 的 副 导 演 ？,你们知道On Your Mark的副导演是谁吗,请问 On Your Mark 的 副 导 演 是谁？
"[['乔治·沃克·布什', '所属政党', '美国共和党']]",乔 治 · 沃 克 · 布 什 属 于 哪 个 政 党 ？,你知道乔治·沃克·布什属于什么政党的吗,乔治·沃克·布什属于哪个政党？
"[['80后回忆秀', '节目口号', '80后回忆秀']]",80 后 回 忆 秀 的 节 目 口 号 是 什 么 ？,80后回忆秀这个节目有啥口号,请问80后回忆秀的节目口号是什么？
"[['上海市建平中学西校', '培养目标', '培养有灵魂、有灵气的阳光少年']]",上 海 市 建 平 中 学 西 校 的 培 养 目 标 是 什 么 ？,请问上海市建平中学西校的培养目标是什么？,请问上海市建平中学西校的培养目标是什么？
"[['矽谷阿嬷', '片头曲', '《生命的河流》']]",你 知 道 矽 谷 阿 嬷 的 片 头 曲 是 什 么 吗 ？,《矽谷阿嬷》的片头曲是什么？,请问矽谷阿嬷的片头曲是什么？
"[['ndsI', '首发时间', '2008年11月1日']]",你 知 道 NDsI 是 什 么 时 候 发 行 的 吗 ？,ndsI啥时候可以看？,请问NDsI是哪一天发布的？
"[['御我', '俗名', '小说作者']]",你 知 道 御 我 的 俗 名 吗 ？,你知道御我俗称是什么吗？,请问御我的俗名是什么？
"[['Renee Young', '男友', 'Dean Ambrose']]",Renee Young 的 男 友 叫 什 么 名 字 ？,Renee Young的男朋友是谁,请问Renee Young的男朋友叫什么名字？
"[['丁日昌旧居', '建造年代', '清光绪初年']]",丁 日 昌 旧 居 是 什 么 时 候 建 造 的 ？,丁日昌旧居是什么年代建造的,丁日昌旧居是在哪一年建造的？
"[['上杉景信', '妹夫', '本庄繁长']]",请 问 上 杉 景 信 的 老 公 是 谁 ？,谁是上杉景信的妹夫啊,上杉景信的妹夫是谁？
"[['艾哈德·劳斯', '参与战争', '一战和二战']]",你 知 道 艾 哈 德 · 劳 斯 参 与 了 什 么 战 争 吗 ？,请问艾哈德·劳斯参与过哪些战争？,艾哈德·劳斯参加过哪些战争？
"[['古窑', '展馆名称', '景德镇古窑民俗博览区']]",古 窑 的 展 馆 名 称 是 什 么 ？,请问古窑叫什么？,请问景德镇古窑民俗博览区的展馆名称是什么？
"[['Justified（同名手游）', '游戏特征', '魔幻']]",Justified 的 游 戏 特 征 是 什 么 ？,谁知道Justified是哪种类型的游戏呀？,请问 Justified 手游的游戏特征是什么？
"[['1934年意大利世界杯', '参赛球队', '16支']]",你 知 道 1934 年 意 大 利 世 界 杯 的 参 赛 球 队 有 多 少 吗 ？,你知道1934年意大利世界杯有哪些球队参与了吗,请问1934年意大利世界杯有多少支球队参赛？
"[['西班牙流行性感冒', '死亡人数', '2500万～4000万人']]",你 知 道 西 班 牙 流 行 性 感 冒 一 共 死 了 多 少 人 吗 ？,你知道西班牙流行性感冒死了多少人吗？,西班牙流行性感冒期间，全球大约有多少人死亡？
"[['AAA（汽车贴膜品牌AAA）', '隶属于', '美国国际阳光控股']]",AAA 隶 属 于 哪 里 ？,AAA隶属于什么,请问AAA（汽车贴膜品牌AAA）隶属于哪里？
"[['Numbers（微课课程）', '主讲教师', '陈晨']]",Numbers 的 主 讲 教 师 是 谁 ？,Numbers是谁主讲的,Numbers 的主讲教师是谁？
"[['东岛海域', '水深', '13～15米']]",东 岛 海 域 的 水 深 是 多 少 ？,你知道东岛海域的水有多深吗？,东岛海域的水深是多少米？
"[['万安围', '民居类型', '客家民居']]",万 安 围 属 于 什 么 类 型 的 民 居 ？,万安围是什么类型的民居呀,请问万安围属于什么类型的民居？
"[['金荣光（蔚山现代球队的守门员）', '现效力球队', '蔚山现代']]",金 荣 光 现 在 在 哪 个 球 队 工 作 ？,请问金荣光现在在哪个球队？,请问金荣光现在效力于哪个球队？
"[['路易斯·加布里埃尔·雷', '现效力球队', '普埃布拉足球俱乐部']]",路 易 斯 · 加 布 里 埃 尔 · 雷 现 在 在 哪 个 球 队 工 作 ？,你知道路易斯·加布里埃尔·雷现在为什么球队效力吗？,请问路易斯·加布里埃尔·雷现在效力于哪个球队？
"[['凯摩国际公寓', '均价', '14197元/㎡']]",凯 摩 国 际 公 寓 的 均 价 是 多 少 ？,你知道凯摩国际公寓的均价是多少吗？,请问凯摩国际公寓的均价是多少？
"[[""The B-52's"", '成员人数', '5人']]",The B - 52's 的 成 员 人 数 是 多 少 ？,我想知道The B-52's有多少人？,请问 The B-52's 有多少成员？
"[['不死之主（虚拟人物）', '境界', '圣品天至尊后期']]",不 死 之 主 的 境 界 是 什 么 ？,不死之主在什么境界,不死之主的境界是什么？
"[['the hives', '成员人数', '5人']]",the Hives 的 成 员 人 数 是 多 少 ？,the hives有多少人啊？,请问the Hives的成员人数是多少？
"[['合法非劳动收入', '体现', '补偿性、激励性、效率性']]",合 法 非 劳 动 收 入 体 现 了 什 么 ？,合法非劳动收入可以体现什么？,合法非劳动收入具体体现了哪些方面？
"[['Where did you go（微课课程）', '主讲教师', '谢单单']]",你 知 道 Where did you go 的 主 讲 教 师 是 谁 吗 ？,你知道Where did you go是主讲教师是谁吗,请问 Where did you go 的主讲教师是谁？
"[['CUTE（创建绿色文明网络的组织）', '主旨', '创建绿色文明网络环境']]",CUTE 的 主 旨 是 什 么 ？,请问CUTE的主旨是什么？,CUTE 的 主旨 是 什 么 ？
"[['离了', '简体部首', '亠']]",你 知 道 离 了 的 简 体 字 怎 么 写 吗 ？,离了的简体是什么啊？,请问离了的简体部首是什么？
"[['2018美国《国家地理》全球摄影大赛中国区', '作品类别', '自然类、地方类、人物类、图片故事类、手机专区']]",你 知 道 2018 美 国 《 国 家 地 理 》 全 球 摄 影 大 赛 中 国 区 的 作 品 类 别 吗 ？,2018美国《国家地理》全球摄影大赛中国区是什么类别的作品,请问2018年美国《国家地理》全球摄影大赛中国区的作品类别有哪些？
"[['On Call 36小时Ⅱ', '制作统筹', '林佩娟']]",你 知 道 On Call 36 小 时 Ⅱ 是 谁 制 作 的 吗 ？,谁知道On Call 36小时Ⅱ的制作统筹是谁？,On Call 36小时Ⅱ的制作人是谁？
"[['不动（日本漫画《火影忍者》中的角色）', '查克拉属性', '土']]",不 动 的 查 克 拉 属 性 是 什 么 ？,你知道不动的查克拉属性吗,请问不动在《火影忍者》中的查克拉属性是什么？
"[['2009年度北京流行音乐典礼', '直播平台', '新浪视频']]",你 知 道 2009 年 度 北 京 流 行 音 乐 典 礼 的 直 播 平 台 是 什 么 吗 ？,2009年度北京流行音乐典礼的直播平台是什么,请问2009年度北京流行音乐典礼的直播平台是哪个？
"[['未名诗歌节', '举办方', '由北京大学五四文学社']]",你 知 道 未 名 诗 歌 节 的 举 办 方 是 哪 里 吗 ？,未名诗歌节的举办方是谁？,请问未名诗歌节是由哪个机构举办的？
"[['武汉工业学院生物与制药工程学院', '所属院校', '武汉工业学院']]",武 汉 工 业 学 院 生 物 与 制 药 工 程 学 院 属 于 哪 个 院 校 ？,请问武汉工业学院生物与制药工程学院属于什么院校？,请问武汉工业学院生物与制药工程学院是哪个学校的学院？
"[['RebRank', '主要工作', '制作STG游戏']]",RebRank 的 主 要 工 作 是 什 么 ？,RebRank主要负责什么工作,请问RebRank的主要工作是什么？
"[['4格忍法刀', '制造者', '桐生战兔']]",4 格 忍 法 刀 是 谁 制 造 的 ？,4格忍法刀是谁制造的,请问4格忍法刀的制造者是谁？
"[['中华全国外国哲学史学会', '注册机构', '民政部']]",中 华 全 国 外 国 哲 学 史 学 会 是 哪 个 机 构 注 册 的 ？,你知道中华全国外国哲学史学会的注册机构在哪吗,请问中华全国外国哲学史学会是由哪个机构注册的呢？
"[['新月诗社', '主旨', '诗歌创作、学术交流']]",新 月 诗 社 的 主 旨 是 什 么 ？,什么是新月诗社的主旨？,新月诗社的主要目的是什么？
"[['太平村（黑龙江省鸡西市虎林市伟光乡太平村）', '农户', '328户']]",太 平 村 的 农 户 有 多 少 户 ？,太平村的农业户口有多少户啊？,请问太平村有多少农户？
"[['乔燃', '挚爱', '方茴']]",谁 是 乔 燃 的 挚 爱 ？,你知道乔燃最爱的是谁吗,乔燃的挚爱是谁？
"[['三船（日本动漫《火影忍者》中人物）', '查克拉属性', '无']]",三 船 的 查 克 拉 属 性 是 什 么 ？,三船的查克拉是什么属性的,请问三船在《火影忍者》中的查克拉属性是什么？
"[['三井村（山西省大同市云冈区三井村）', '总耕地面积', '2.780.亩']]",三 井 村 的 总 耕 地 面 积 是 多 少 ？,你知道三井村的耕地面积多大吗,请问三井村的总面积是多少亩？
"[['克鲁威拉乐团', '成员人数', '3人']]",你 知 道 克 鲁 威 拉 乐 团 有 多 少 人 吗 ？,我想知道克鲁威拉乐团有多少人？,克鲁威拉乐团有多少人？
"[['任建民（绵阳市政府原副市长，市公安局原局长）', '警衔', '二级警监']]",你 知 道 任 建 民 有 什 么 警 衔 吗 ？,任建民被授予了什么警衔,请问任建民的警衔是什么？
"[['富士见Mystery文库', '出版单位', '富士见书房']]",富 士 见 Mystery 文 库 是 哪 个 单 位 出 版 的 ？,你知道富士见Mystery文库的出版单位是哪个出版社?,请问富士见Mystery文库的出版单位是哪家出版社？
"[['严丽（长乐职业中专学校教师）', '个人荣誉', '福建省优秀教师']]",严 丽 获 得 过 哪 些 荣 誉 ？,你知道严丽有啥个人荣誉吗,请问严丽获得过哪些个人荣誉？
"[['丁亚平（陶艺大师）', '恩师', '束凤英，丁洪顺']]",丁 亚 平 的 恩 师 是 谁 ？,丁亚平的恩师是谁,丁亚平的恩师是谁？
"[['中央城市工作会议', '会议时间', '2015年12月20日至21日']]",中 央 城 市 工 作 会 议 的 会 议 时 间 是 什 么 时 候 ？,你知道中央城市工作会议是什么时候开会吗？,请问中央城市工作会议是在什么时候举行的？
"[['Doom slayer', '战绩', '屠杀地狱3个纪元']]",Doom slayer 的 战 绩 如 何 ？,Doom slayer有哪些战绩呢,Doom slayer 的 战绩 如何？
"[['神池县人民政府', '经度', '东经111°42′--112°18′，']]",神 池 县 人 民 政 府 的 经 度 是 什 么 ？,请问神池县人民政府是采用哪个经度的时间？,神池县人民政府的经度是多少？
"[['永济县（唐代古县）', '得名原因', '因其西临永济渠']]",你 知 道 永 济 县 的 得 名 原 因 是 什 么 吗 ？,永济县是什么原因起这个名字的啊？,永济县（唐代古县）的得名原因是什么？
"[['乔伊伊', '闺蜜', '吴梦婷']]",请 问 乔 伊 伊 的 闺 蜜 是 谁 ？,你知道乔伊伊的闺蜜是谁吗,乔伊伊的闺蜜是谁？
"[['山茶油', '营养成分', '维生素A、B、D、E、亚麻酸']]",山 茶 油 有 哪 些 营 养 成 分 ？,有人知道山茶油的主要营养成分是啥吗？,请问山茶油含有哪些营养成分？
"[['全球网站联盟广告大会', '举办方', '杭州市人民政府']]",全 球 网 站 联 盟 广 告 大 会 的 举 办 方 是 哪 里 ？,我想知道全球网站联盟广告大会的举办方是谁？,你知道全球网站联盟广告大会是由谁举办的吗?
"[['Alan L. Shefland', '合作导演', 'John Huff']]",你 知 道 Alan L. Shefland 的 合 作 导 演 是 谁 吗 ？,Alan L. Shefland有哪些合作导演,Alan L. Shefland 的 合作导演 是谁？
"[['scp-173（SCP基金会系列经典形象，最早的SCP项目）', '弱点', 'SCP-131']]",scp - 173 有 哪 些 弱 点 ？,scp-173害怕什么,scp-173 有哪些弱点？
"[['邓思维', '注册编号', 'A252037']]",邓 思 维 的 注 册 编 号 是 什 么 ？,告诉我邓思维的时间查询编号是多少？,请问邓思维的注册编号是多少？
"[['亚伯拉罕·林肯（美国第16任总统）', '所属政党', '共和党']]",亚 伯 拉 罕 · 林 肯 属 于 哪 个 政 党 ？,亚伯拉罕·林肯的所属政党是什么,亚伯拉罕·林肯是哪个政党的成员？
"[['SCP-CN-497', '项目编号', 'SCP-CN-497']]",SCP - CN - 497 的 项 目 编 号 是 什 么 ？,请问SCP-CN-497的项目编号是多少？,请问SCP-CN-497的项目编号是什么？
"[['19型客车', '生产国', '中国、德国']]",请 问 19 型 客 车 是 哪 个 国 家 生 产 的 ？,19型客车是哪个国家生产的,请问19型客车是哪个国家生产的？
"[['半自动手枪', '指代', '仅能自动装填弹药的单发手枪']]",你 知 道 半 自 动 手 枪 指 的 是 什 么 吗 ？,你知道半自动手枪一般都被指代成什么吗？,请问半自动手枪指的是什么？
"[['丁英（李双江前妻）', '前夫', '李双江']]",你 知 道 丁 英 的 前 夫 是 谁 吗 ？,你知道谁是丁英的前夫吗,丁英的前夫是谁？
"[['三江新区（四川省广元市城市新区）', '港口', '广元港（嘉陵江/在建）']]",三 江 新 区 的 港 口 叫 什 么 名 字 ？,三江新区有哪些港口,请问三江新区（四川省广元市城市新区）的港口叫什么名字？
"[['AKB48终于推出官方音乐游戏了', '游戏特征', '网游 休闲 音乐 Q版']]",AKB48 终 于 推 出 官 方 音 乐 游 戏 了 的 游 戏 特 征 是 什 么 ？,你知道AKB48终于推出官方音乐游戏了的游戏特征是什么类型的游戏吗？,AKB48推出的官方音乐游戏有哪些特点？
"[['药品生产许可证', '发布', '国家食品药品监督管理局']]",药 品 生 产 许 可 证 是 什 么 时 候 发 布 的 ？,药品生产许可证是什么单位发布的？,请问药品生产许可证是何时发布的？
"[['乔瑟夫·乔斯达（《JOJO的奇妙冒险》系列漫画重要角色）', '挚友', '西撒·安德里欧·齐贝林']]",谁 是 乔 瑟 夫 · 乔 斯 达 的 挚 友 ？,请告诉我乔瑟夫·乔斯达最好的朋友是哪个,乔瑟夫·乔斯达的挚友是谁？
"[['丁卡族', '人种', '身材最高的民族']]",请 问 丁 卡 族 是 什 么 种 族 的 人 ？,丁卡族是黄种人、白种人还是黑人呀,丁卡族属于哪个种族？
"[['16人姐妹歌（SNH48《最后的钟声响起》公演曲）', '首演日期', '2013年1月12日']]",你 知 道 16 人 姐 妹 歌 的 首 演 日 期 吗 ？,16人姐妹歌的首演日期是什么时候,请问16人姐妹歌的首演日期是什么时候？
"[['一萼红·石屋探梅', '词牌', '一萼红']]",一 萼 红 · 石 屋 探 梅 的 词 牌 是 什 么 ？,请问一萼红·石屋探梅的词牌是什么,请问一萼红·石屋探梅的词牌是什么？
"[['台风万宜（2013年第18号强热带风暴）', '停编日期', '2013年9月16日']]",台 风 万 宜 的 停 编 日 期 是 什 么 时 候 ？,台风万宜是什么时候停编的,请问台风万宜的停编日期是什么时候？
"[['驾驶员理论考试', '考试时间', '45分钟']]",你 知 道 驾 驶 员 理 论 考 试 的 时 间 吗 ？,驾驶员理论考试的考试时间是什么时候？,驾驶员理论考试的时长是多少？
"[['抗癌药', '治疗', '治疗肿瘤']]",抗 癌 药 的 治 疗 效 果 怎 么 样 ？,我想知道抗癌药可以治疗什么？,请问抗癌药在治疗肿瘤方面效果如何？
"[['中国刑警803', '上星日期', '2015年4月13日']]",中 国 刑 警 803 是 什 么 时 候 上 映 的 ？,有谁知道中国刑警803的上星日期是什么时候,中国刑警803是哪一天开始播出的？
"[['RecA蛋白', '类似', '纤维']]",RecA 蛋 白 的 类 似 是 什 么 ？,RecA蛋白类似哪本书？,RecA蛋白和纤维有什么相似之处？
"[['七星静香', '男友', '筱原秋人']]",请 问 七 星 静 香 的 男 友 是 谁 ？,你知道七星静香的男朋友吗,请问七星静香的男友是谁？
"[['Venom Snake', '死亡日期', '1995年']]",你 知 道 venomna 是 什 么 时 候 死 的 吗 ？,Venom Snake是啥时候去世的,请问 Venom Snake 是在哪一年去世的？
"[['李鲁宁（上海交通大学物理学博士）', '出生年份', '1988年']]",你 知 道 李 鲁 宁 是 哪 年 出 生 的 吗 ？,李鲁宁几几年出生的？,请问李鲁宁是哪年出生的？
"[['中国共产党第十八届中央委员会第七次全体会议', '会议时间', '2017年10月11日-14日']]",中 国 共 产 党 第 十 八 届 中 央 委 员 会 第 七 次 全 体 会 议 的 会 议 时 间 是 什 么 时 候 ？,中国共产党第十八届中央委员会第七次全体会议在哪个时间段举行？,请问中国共产党第十八届中央委员会第七次全体会议的会议时间是什么时候？
"[['机甲士兵', '罕贵度', '银碎SER']]",机 甲 士 兵 的 罕 贵 度 是 多 少 ？,你了解机甲士兵的罕贵度吗？,请问机甲士兵的罕贵度是多少？
"[['相思曲（同名唐诗）', '作品风格', '缠绵悱恻']]",相 思 曲 的 风 格 是 什 么 ？,你知道相思曲的作品是什么风格的吗？,请问相思曲的风格是什么样的？
"[['四川省电子学会', '成员人数', '6000多人']]",四 川 省 电 子 学 会 的 成 员 人 数 是 多 少 ？,四川省电子学会有多少成员？,请问四川省电子学会的成员人数是多少？
"[['统计从业资格证', '考试时间', '120分']]",统 计 从 业 资 格 证 的 考 试 时 间 是 什 么 时 候 ？,统计从业资格证考试的时间由谁确定？,请问统计从业资格证的考试时间是什么时候？
"[['大劳草堂', '建筑时间', '明永乐年间']]",大 劳 草 堂 是 什 么 时 候 修 建 的 ？,大劳草堂是什么时候开工和完成的？,请问大劳草堂是在什么时候修建的呢？
"[['任烨（执业医师）', '医师级别', '执业医师']]",你 知 道 任 烨 是 什 么 级 别 的 医 师 吗 ？,你知道任烨是什么级别的医生吗,请问任烨的医师级别是什么？
"[['SOHO北京公馆', '交房时间', '2008年11月']]",你 知 道 SOHO 北 京 公 馆 的 交 房 时 间 吗 ？,SOHO北京公馆什么时候交房,请问SOHO北京公馆的交房时间是什么时候？
"[['2016年全国大众创业万众创新活动周', '活动范围', '全国']]",2016 年 全 国 大 众 创 业 万 众 创 新 活 动 周 的 活 动 范 围 是 多 大 ？,2016年全国大众创业万众创新活动周的活动范围在哪,2016年全国大众创业万众创新活动周覆盖了哪些地区？
"[['丁珰', '爷爷', '丁不三']]",请 问 丁 珰 的 爷 爷 是 谁 ？,丁珰的爷爷是谁,丁珰的爷爷是谁？
"[['乔津帆', '前女友', '靖媛']]",乔 津 帆 的 前 女 友 叫 什 么 ？,乔津帆的前女友是谁,乔津帆的前女友是谁？
"[['18型客车', '生产国', '民主德国、中国']]",请 问 18 型 客 车 是 哪 个 国 家 生 产 的 ？,18型客车是哪个国家生产的,请问18型客车是哪个国家生产的？
"[['丰兰息（小说《且试天下》中的人物）', '挚爱', '风惜云/白风夕']]",谁 是 丰 兰 息 的 挚 爱 ？,你知道丰兰息最爱的是谁吗,丰兰息的挚爱是谁？
"[['徐夫人（三国吴宗室孙翊之妻）', '子', '孙松']]",徐 夫 人 的 儿 子 叫 什 么 ？,徐夫人之子是谁？,徐夫人的儿子是谁？
"[['瓦版', '主旨', '报道新闻']]",瓦 版 的 主 旨 是 什 么 ？,请问瓦版的目的是什么？,瓦版的主要目的是什么？
"[['三里亭社区（杭州市闸弄口街道三里亭社区）', '绿化面积', '9000平方米']]",三 里 亭 社 区 的 绿 化 面 积 有 多 大 ？,请问三里亭社区的绿化面积多大,请问三里亭社区的绿化面积是多少平方米？
"[['葡萄牙社会党', '意识形态', '社会民主主义、第三条道路']]",葡 萄 牙 社 会 党 的 意 识 形 态 是 什 么 ？,请问葡萄牙社会党有哪些意识形态？,请问葡萄牙社会党的意识形态是什么？
"[['七绝·改西乡隆盛诗赠父亲', '作品题材', '明志诗']]",你 知 道 七 绝 · 改 西 乡 隆 盛 诗 赠 父 亲 的 作 品 题 材 是 什 么 吗 ？,七绝·改西乡隆盛诗赠父亲是什么题材的,请问七绝·改西乡隆盛诗赠父亲的作品题材是什么？
"[['海豚座（北天星空中星座）', '面积排名', '第69位']]",你 知 道 海 豚 座 的 面 积 有 多 大 吗 ？,海豚座的面积排多少名？,请问海豚座（北天星空中星座）的面积排名是多少？
"[['盖世天尊（观棋著仙侠小说）', '首发时间', '2014年3月10日']]",盖 世 天 尊 的 首 发 时 间 是 什 么 时 候 ？,你知道盖世天尊的首发时间是什么吗？,盖世天尊（观棋著仙侠小说）是哪一天开始发布的？
"[['保和殿', '建成', '明朝永乐十八年（1420年）']]",保 和 殿 是 什 么 时 候 建 成 的 ？,你知道保和殿是什么时候建好的吗？,请问保和殿是什么时候建成的？
"[['You Needed Me', '所获奖项', '1978年格莱美最佳流行女歌手奖']]",You Needed Me 获 得 过 哪 些 奖 项 ？,You Needed Me获得了哪些奖,你知道You Needed Me获得过哪些奖项吗？
"[['介子推（春秋时期晋国大臣）', '追封', '洁惠侯']]",请 问 介 子 推 被 追 封 为 什 么 ？,你知道介子推的追封吗,介子推被追封为谁？
"[['自然电位测井', '主要应用', '找出渗透性地层']]",你 知 道 自 然 电 位 测 井 的 主 要 应 用 是 什 么 吗 ？,自然电位测井主要由什么应用？,请问自然电位测井的主要应用是什么？
"[['隐性知识显性化', '阐述', '在行动中所蕴含的未被表述的知识']]",隐 性 知 识 显 性 化 是 什 么 意 思 ？,你可以阐述一下隐性知识显性化吗？,隐性知识显性化具体指的是什么？
"[['上海市徐汇区教育局', '单位地址', '上海市漕溪北路336号']]",你 知 道 上 海 市 徐 汇 区 教 育 局 的 单 位 地 址 在 哪 里 吗 ？,上海市徐汇区教育局的地址在哪呀,请问上海市徐汇区教育局的单位地址在哪里？
"[['芸苓（漫画影视角色）', '子', '蓝武、神锋、易风（养子）']]",芸 苓 的 孩 子 叫 什 么 ？,大家了解谁是芸苓的儿子吗？,芸苓的养子有哪些？
"[['搏击之夜4', '开发', 'EA']]",搏 击 之 夜 4 是 谁 开 发 的 ？,搏击之夜4由哪里开发？,搏击之夜4的开发者是谁？
"[['于咏琳', '粉丝昵称', '女版林志颖']]",于 咏 琳 的 粉 丝 昵 称 是 什 么 ？,你知道于咏琳的粉丝有哪些昵称吗,你知道于咏琳的粉丝昵称是什么吗？
"[['51Talk', '品牌口号', '让每个人都有能力对话世界']]",51Talk 的 品 牌 口 号 是 什 么 ？,51Talk有什么品牌口号,请问51Talk的品牌口号是什么？
"[['东北民众抗日救国会', '主要领导', '卢广积、王卓然、孙恩元等']]",东 北 民 众 抗 日 救 国 会 的 主 要 领 导 是 谁 ？,东北民众抗日救国会的主要领导有哪些,请问东北民众抗日救国会的主要领导有哪些人？
"[['John Parrish', '死亡日期', '1988年4月18日']]",你 知 道 John Parrish 是 哪 天 死 的 吗 ？,John Parrish是啥时候去世的,请问John Parrish是哪一天去世的？
"[['上官惊鸿', '挚爱', '翘楚']]",谁 是 上 官 惊 鸿 的 挚 爱 ？,上官惊鸿的挚爱是谁,上官惊鸿的挚爱是谁？
"[['杨湾村（浙江省湖州市吴兴区妙西镇下辖村）', '农户', '238户']]",杨 湾 村 的 农 户 有 多 少 户 ？,杨湾村一共有多少农户？,请问杨湾村有多少农户？
"[['丮', 'UniCode', 'CJK']]",你 知 道 丮 的 英 文 是 什 么 吗 ？,丮的UniCode编码是什么,请问丮的英文是什么？
"[['三裂蛇葡萄', '是否引种栽培', '非人工引种栽培']]",三 裂 蛇 葡 萄 是 否 引 种 栽 培 ？,我们有没有引种栽培三裂蛇葡萄呢,请问三裂蛇葡萄是否属于非人工引种栽培？
"[['黑夜鸟', '章节', '19']]",黑 夜 鸟 有 哪 些 章 节 ？,黑夜鸟位于哪一章节？,黑夜鸟的章节有哪些？
"[['androp', '登场日期', '2009年']]",androp 是 什 么 时 候 登 场 的 ？,androp的登场日期是什么时候,请问androp是在什么时候登场的？
"[['信息港', '主营业务', '宽带接入']]",信 息 港 的 主 营 业 务 是 什 么 ？,信息港经营哪些业务？,信息港主要提供什么服务？
"[['丁铭（漫画《堕玄师》重要角色）', '修为', '淬体境·（锻骨→易筋）→通玄境·鼻窍→凝识境·炼虚化海']]",你 知 道 丁 铭 的 修 为 是 什 么 吗 ？,丁铭修为怎么样,丁铭的修为达到了什么境界？
"[['第71届联合国大会', '开幕时间', '2016年9月13日']]",第 71 届 联 合 国 大 会 是 什 么 时 候 开 幕 的 ？,第71届联合国大会是什么时候开幕的？,请问第71届联合国大会是在哪一天开幕的？
"[['疯狂（本雅明·莱贝特著小说）', '作家', '本雅明·莱贝特']]",疯 狂 是 谁 写 的 ？,你知道疯狂的作家是谁啊？,请问《疯狂》这本小说的作者是谁？
"[['1994年关税与贸易总协定', '召开时间', '1944年7月']]",1994 年 关 税 与 贸 易 总 协 定 是 在 什 么 时 候 召 开 的 ？,你知道1994年关税与贸易总协定是什么时候召开的吗,请问1994年关税与贸易总协定是在什么时候召开的？
"[['碧血青天珍珠旗', '制作统筹', '马华干、陈国华']]",你 知 道 碧 血 青 天 珍 珠 旗 的 制 作 统 筹 是 谁 吗 ？,谁制作了碧血青天珍珠旗？,请问碧血青天珍珠旗的制作统筹是谁？
"[['三义庙（四川成都三义庙）', '所属博物馆', '成都武侯祠博物馆']]",三 义 庙 属 于 哪 个 博 物 馆 ？,三义庙被哪个博物馆收藏的啊,请问三义庙属于哪个博物馆？
"[['上海马桥遗址', '所属时代', '新石器时代至商']]",上 海 马 桥 遗 址 属 于 什 么 时 代 ？,你知道上海马桥遗址属于哪个年代吗,请问上海马桥遗址属于哪个时代？
"[['东条希', '就读学校', '音乃木坂学院']]",请 问 东 条 希 在 哪 个 学 校 就 读 ？,你知道东条希在哪个学校读书的嘛,东条希就读的学校是哪所？
"[['万剑一（仙侠小说《诛仙》人物）', '法宝', '斩龙剑']]",万 剑 一 的 法 宝 是 什 么 ？,万剑一有哪些法宝啊,请问万剑一的法宝是什么？
