五元组信息,问题,生成的语句,查询结果
"{'start': '压缩机的各级进口', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['安全管理']}",压缩机的各级进口应当属于什么安全管理?,"MATCH (device:设备与工具 {name: '压缩机的各级进口'})-[:应当]->(safety:安全管理) RETURN device.name AS device_name, safety.name AS safety_name","[{'device_name': '压缩机的各级进口', 'safety_name': '设凝液分离器或者机械杂质过滤器'}]"
"{'start': '分离器', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['安全管理']}",分离器应当参与什么安全管理?,"MATCH (device:设备与工具 {name: '分离器'})-[:应当]->(safety:安全管理) RETURN device.name AS device_name, safety.name AS safety_name","[{'device_name': '分离器', 'safety_name': '有排液、液位控制和高液位报警及放空等设施'}]"
"{'start': '在煤层气脱水装置前', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['设备与工具']}",在煤层气脱水装置前的设备与工具应当满足什么条件?,"MATCH (device:设备与工具)-[:应当]->(device2:设备与工具) WHERE device.name = '在煤层气脱水装置前' RETURN device.name AS device_name, device2.name AS device2_name","[{'device_name': '在煤层气脱水装置前', 'device2_name': '设置分离器'}]"
"{'start': '脱水器前', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['活动与作业']}",脱水器前应当参与什么活动与作业?,"MATCH (location:设备与工具 {name: '脱水器前'})-[:应当]->(activity:活动与作业) RETURN location.name AS location_name, activity.name AS activity_name","[{'location_name': '脱水器前', 'activity_name': '设置安全阀'}]"
"{'start': '压缩机的出口管线上的截断阀前', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['活动与作业']}",压缩机的出口管线上的截断阀前应当进行什么活动与作业?,"MATCH (location:设备与工具 {name: '压缩机的出口管线上的截断阀前'})-[:应当]->(activity:活动与作业) RETURN location.name AS location_name, activity.name AS activity_name","[{'location_name': '压缩机的出口管线上的截断阀前', 'activity_name': '设置安全阀'}]"
"{'start': '煤层气脱水装置中，气体管线', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['设备与工具']}",煤层气脱水装置中，气体管线应当属于什么设备与工具?,"MATCH (device:设备与工具 {name: '煤层气脱水装置中，气体管线'})-[:应当]->(other_device:设备与工具) RETURN device.name AS device_name, other_device.name AS other_device_name","[{'device_name': '煤层气脱水装置中，气体管线', 'other_device_name': '选用全启式安全阀'}]"
"{'start': '液体管线', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['设备与工具']}",液体管线应当属于什么设备与工具?,"MATCH (pipe:设备与工具 {name: '液体管线'})-[:应当]->(tool:设备与工具) RETURN pipe.name AS pipe_name, tool.name AS tool_name","[{'pipe_name': '液体管线', 'tool_name': '选用微启式安全阀'}]"
"{'start': '安全阀弹簧', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['安全管理']}",安全阀弹簧应当属于什么设备与工具的安全管理?,"MATCH (spring:设备与工具 {name: '安全阀弹簧'})-[:应当]->(safety:安全管理) RETURN spring.name AS spring_name, safety.name AS safety_name","[{'spring_name': '安全阀弹簧', 'safety_name': '具有可靠的防腐蚀性能或者必要的防腐保护措施'}]"
"{'start': '含硫化氢的煤层气', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['环境与条件']}",含硫化氢的煤层气应当属于什么环境与条件?,"MATCH (gas:环境与条件 {name: '含硫化氢的煤层气'})-[:应当]->(condition:环境与条件) RETURN gas.name AS gas_name, condition.name AS condition_name","[{'gas_name': '含硫化氢的煤层气', 'condition_name': '脱硫、脱水'}]"
"{'start': '因管输产生游离水', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['环境与条件']}",因管输产生游离水应当属于什么环境与条件?,"MATCH (condition:环境与条件 {name: '因管输产生游离水'})-[:应当]->(other_condition:环境与条件) RETURN condition.name AS condition_name, other_condition.name AS other_condition_name","[{'condition_name': '因管输产生游离水', 'other_condition_name': '先脱水、后脱硫'}]"
"{'start': '在煤层气处理及输送过程中使用化学药剂时，煤层气企业', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['安全管理']}",在煤层气处理及输送过程中使用化学药剂时，煤层气企业应当参与什么安全管理?,"MATCH (enterprise:组织与人员 {name: '在煤层气处理及输送过程中使用化学药剂时，煤层气企业'})-[:应当]->(safety:安全管理) RETURN enterprise.name AS enterprise_name, safety.name AS safety_name","[{'enterprise_name': '在煤层气处理及输送过程中使用化学药剂时，煤层气企业', 'safety_name': '落实防冻伤、防中毒和防化学伤害等措施'}, {'enterprise_name': '在煤层气处理及输送过程中使用化学药剂时，煤层气企业', 'safety_name': '严格执行技术操作规程和措施要求'}]"
"{'start': '在煤层气处理及输送过程中使用化学药剂时，煤层气企业', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['安全管理']}",在煤层气处理及输送过程中使用化学药剂时，煤层气企业应当参与什么安全管理?,"MATCH (enterprise:组织与人员 {name: '在煤层气处理及输送过程中使用化学药剂时，煤层气企业'})-[:应当]->(safety:安全管理) RETURN enterprise.name AS enterprise_name, safety.name AS safety_name","[{'enterprise_name': '在煤层气处理及输送过程中使用化学药剂时，煤层气企业', 'safety_name': '落实防冻伤、防中毒和防化学伤害等措施'}, {'enterprise_name': '在煤层气处理及输送过程中使用化学药剂时，煤层气企业', 'safety_name': '严格执行技术操作规程和措施要求'}]"
"{'start': '煤层气企业', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['活动与作业']}",煤层气企业应当参与什么活动与作业?,"MATCH (enterprise:组织与人员 {name: '煤层气企业'})-[:应当]->(activity:活动与作业) RETURN enterprise.name AS enterprise_name, activity.name AS activity_name","[{'enterprise_name': '煤层气企业', 'activity_name': '对气水分离器（如有）定期排水'}, {'enterprise_name': '煤层气企业', 'activity_name': '对煤层气储罐定期检测'}, {'enterprise_name': '煤层气企业', 'activity_name': '在脱硫溶液系统中设过滤器'}, {'enterprise_name': '煤层气企业', 'activity_name': '并应当向进入站场的外来人员告知安全注意事项等'}, {'enterprise_name': '煤层气企业', 'activity_name': '在站场的进口处设置明显的安全警示牌、进站须知和逃生路线图'}, {'enterprise_name': '煤层气企业', 'activity_name': '定时记录设备的运转状况，定期分析主要设备的运行状态'}, {'enterprise_name': '煤层气企业', 'activity_name': '建立报废煤层气井的档案'}, {'enterprise_name': '煤层气企业', 'activity_name': '对报废的煤层气井进行封井处理'}, {'enterprise_name': '煤层气企业', 'activity_name': '在站场内设置风向标'}, {'enterprise_name': '煤层气企业', 'activity_name': '测井施工前，应当召开安全会'}, {'enterprise_name': '煤层气企业', 'activity_name': '停止测井作业'}, {'enterprise_name': '煤层气企业', 'activity_name': '将井口附近的无关物品移开'}, {'enterprise_name': '煤层气企业', 'activity_name': '及时清除钻台转盘及钻台作业面上的钻井液'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期对从事放射性工作的人员进行个人剂量监测和职业健康检查'}, {'enterprise_name': '煤层气企业', 'activity_name': '建立个人剂量档案和职业健康监护档案'}, {'enterprise_name': '煤层气企业', 'activity_name': '对压裂施工进行统一指挥'}, {'enterprise_name': '煤层气企业', 'activity_name': '将排采沉淀池布置在井场围栏范围内'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期用可燃气体检测仪检测阀门、管线是否漏气，发现漏气应当立即检修处理'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期检查气水分离器（如有）的阀门、安全阀是否灵活好用'}]"
"{'start': '进脱硫装置的原料气总管线和再生塔', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['设备与工具']}",进脱硫装置的原料气总管线和再生塔应当属于什么设备与工具?,"MATCH (device:设备与工具 {name: '进脱硫装置的原料气总管线和再生塔'})-[:应当]->(other_device:设备与工具) RETURN device.name AS device_name, other_device.name AS other_device_name","[{'device_name': '进脱硫装置的原料气总管线和再生塔', 'other_device_name': '设安全阀'}]"
"{'start': '液硫储罐最高液位之上', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['设备与工具']}",液硫储罐最高液位之上的设备与工具应当满足什么条件?,"MATCH (device:设备与工具 {name: '液硫储罐最高液位之上'})-[:应当]->(other:设备与工具) RETURN device.name AS device_name, other.name AS other_name","[{'device_name': '液硫储罐最高液位之上', 'other_name': '设置灭火蒸汽管'}]"
"{'start': '储罐四周', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['设备与工具']}",储罐四周应当属于什么设备与工具?,"MATCH (location:设备与工具 {name: '储罐四周'})-[:应当]->(device:设备与工具) RETURN location.name AS location_name, device.name AS device_name","[{'location_name': '储罐四周', 'device_name': '设置闭合的不燃烧材料防护墙'}]"
"{'start': '防护墙', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['环境与条件']}",防护墙应当处于什么环境与条件?,"MATCH (wall:设备与工具 {name: '防护墙'})-[:应当]->(condition:环境与条件) RETURN wall.name AS wall_name, condition.name AS condition_name","[{'wall_name': '防护墙', 'condition_name': '为1米'}]"
"{'start': '防护墙', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['设备与工具']}",防护墙应当属于什么设备与工具?,"MATCH (wall:设备与工具 {name: '防护墙'})-[:应当]->(tool:设备与工具) RETURN wall.name AS wall_name, tool.name AS tool_name","[{'wall_name': '防护墙', 'tool_name': '设置相应的消防设施'}]"
"{'start': '在含硫容器内作业时，煤层气企业', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['活动与作业']}",在含硫容器内作业时，煤层气企业应当参与什么活动与作业?,"MATCH (person:组织与人员 {name: '在含硫容器内作业时，煤层气企业'})-[:应当]->(activity:活动与作业) RETURN person.name AS person_name, activity.name AS activity_name","[{'person_name': '在含硫容器内作业时，煤层气企业', 'activity_name': '进行有毒气体测试'}]"
"{'start': '在含硫容器内作业时，煤层气企业', 'type': '设置', 'labels(a)': ['组织与人员'], 'labels(b)': ['设备与工具']}",在含硫容器内作业时，煤层气企业设置的是什么设备与工具?,"MATCH (person:组织与人员 {name: '在含硫容器内作业时，煤层气企业'})-[:设置]->(device:设备与工具) RETURN person.name AS person_name, device.name AS device_name","[{'person_name': '在含硫容器内作业时，煤层气企业', 'device_name': '正压式空气呼吸器'}]"
"{'start': '集输系统投产', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['安全管理']}",集输系统投产应当符合什么安全管理?,"MATCH (activity:活动与作业 {name: '集输系统投产'})-[:应当符合]->(safety:安全管理) RETURN activity.name AS activity_name, safety.name AS safety_name","[{'activity_name': '集输系统投产', 'safety_name': '制定安全措施和应急预案'}, {'activity_name': '集输系统投产', 'safety_name': '集气管线全线进行试压、清管'}, {'activity_name': '集输系统投产', 'safety_name': '各单体设备、分系统试运行正常，设备工作状态良好，集输系统整体联合试运行正常'}, {'activity_name': '集输系统投产', 'safety_name': '管线与设备的严密性试验合格'}]"
"{'start': '集输系统投产', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['安全管理']}",集输系统投产应当符合什么安全管理?,"MATCH (activity:活动与作业 {name: '集输系统投产'})-[:应当符合]->(safety:安全管理) RETURN activity.name AS activity_name, safety.name AS safety_name","[{'activity_name': '集输系统投产', 'safety_name': '制定安全措施和应急预案'}, {'activity_name': '集输系统投产', 'safety_name': '集气管线全线进行试压、清管'}, {'activity_name': '集输系统投产', 'safety_name': '各单体设备、分系统试运行正常，设备工作状态良好，集输系统整体联合试运行正常'}, {'activity_name': '集输系统投产', 'safety_name': '管线与设备的严密性试验合格'}]"
"{'start': '集输系统投产', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['安全管理']}",集输系统投产应当符合什么安全管理?,"MATCH (activity:活动与作业 {name: '集输系统投产'})-[:应当符合]->(safety:安全管理) RETURN activity.name AS activity_name, safety.name AS safety_name","[{'activity_name': '集输系统投产', 'safety_name': '制定安全措施和应急预案'}, {'activity_name': '集输系统投产', 'safety_name': '集气管线全线进行试压、清管'}, {'activity_name': '集输系统投产', 'safety_name': '各单体设备、分系统试运行正常，设备工作状态良好，集输系统整体联合试运行正常'}, {'activity_name': '集输系统投产', 'safety_name': '管线与设备的严密性试验合格'}]"
"{'start': '集输系统投产', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['安全管理']}",集输系统投产应当符合什么安全管理?,"MATCH (activity:活动与作业 {name: '集输系统投产'})-[:应当符合]->(safety:安全管理) RETURN activity.name AS activity_name, safety.name AS safety_name","[{'activity_name': '集输系统投产', 'safety_name': '制定安全措施和应急预案'}, {'activity_name': '集输系统投产', 'safety_name': '集气管线全线进行试压、清管'}, {'activity_name': '集输系统投产', 'safety_name': '各单体设备、分系统试运行正常，设备工作状态良好，集输系统整体联合试运行正常'}, {'activity_name': '集输系统投产', 'safety_name': '管线与设备的严密性试验合格'}]"
"{'start': '管线投运前，煤层气企业', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['活动与作业']}",管线投运前，煤层气企业应当参与什么活动与作业?,"MATCH (enterprise:组织与人员 {name: '管线投运前，煤层气企业'})-[:应当]->(activity:活动与作业) RETURN enterprise.name AS enterprise_name, activity.name AS activity_name","[{'enterprise_name': '管线投运前，煤层气企业', 'activity_name': '对管线内的空气进行置换，避免空气与煤层气混合'}]"
"{'start': '置换过程中的混合气体', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['活动与作业']}",置换过程中的混合气体应当参与什么活动与作业?,"MATCH (gas:环境与条件 {name: '置换过程中的混合气体'})-[:应当]->(activity:活动与作业) RETURN gas.name AS gas_name, activity.name AS activity_name","[{'gas_name': '置换过程中的混合气体', 'activity_name': '利用放空系统放空'}]"
"{'start': '置换过程中的混合气体', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['环境与条件']}",置换过程中的混合气体应当满足什么条件?,"MATCH (gas:环境与条件 {name: '置换过程中的混合气体'})-[:应当]->(condition:环境与条件) RETURN gas.name AS gas_name, condition.name AS condition_name","[{'gas_name': '置换过程中的混合气体', 'condition_name': '隔离区并禁止烟火'}]"
"{'start': '进行氮气置换时', 'type': '应当', 'labels(a)': ['活动与作业'], 'labels(b)': ['环境与条件']}",进行氮气置换时应当满足什么环境与条件?,"MATCH (activity:活动与作业 {name: '进行氮气置换时'})-[:应当]->(condition:环境与条件) RETURN activity.name AS activity_name, condition.name AS condition_name","[{'activity_name': '进行氮气置换时', 'condition_name': '不低于5摄氏度'}]"
"{'start': '排放氮气时', 'type': '应当', 'labels(a)': ['活动与作业'], 'labels(b)': ['环境与条件']}",排放氮气时应当满足什么环境与条件?,"MATCH (activity:活动与作业 {name: '排放氮气时'})-[:应当]->(condition:环境与条件) RETURN activity.name AS activity_name, condition.name AS condition_name","[{'activity_name': '排放氮气时', 'condition_name': '防止大量氮气聚集造成人员窒息，管线中氮气量过大时应当提前进行多点排放'}]"
"{'start': '对管线的监控', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['安全管理']}",对管线的监控应当符合什么安全管理?,"MATCH (monitoring:活动与作业 {name: '对管线的监控'})-[:应当符合]->(safety:安全管理) RETURN monitoring.name AS monitoring_name, safety.name AS safety_name","[{'monitoring_name': '对管线的监控', 'safety_name': '定期对装有阴极保护设施的管线保护电位进行测试'}, {'monitoring_name': '对管线的监控', 'safety_name': '定时巡查线路分水器，及时排放污水，并有防止冰冻的措施（四）在雨季、汛期或者其他灾害发生后加密巡查'}, {'monitoring_name': '对管线的监控', 'safety_name': '根据沿线情况定期对集输管线进行巡线检查，但每季度至少徒步巡查一次'}, {'monitoring_name': '对管线的监控', 'safety_name': '对重要工艺参数及工作状态进行连续检测和记录'}]"
"{'start': '对管线的监控', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['安全管理']}",对管线的监控应当符合什么安全管理?,"MATCH (monitoring:活动与作业 {name: '对管线的监控'})-[:应当符合]->(safety:安全管理) RETURN monitoring.name AS monitoring_name, safety.name AS safety_name","[{'monitoring_name': '对管线的监控', 'safety_name': '定期对装有阴极保护设施的管线保护电位进行测试'}, {'monitoring_name': '对管线的监控', 'safety_name': '定时巡查线路分水器，及时排放污水，并有防止冰冻的措施（四）在雨季、汛期或者其他灾害发生后加密巡查'}, {'monitoring_name': '对管线的监控', 'safety_name': '根据沿线情况定期对集输管线进行巡线检查，但每季度至少徒步巡查一次'}, {'monitoring_name': '对管线的监控', 'safety_name': '对重要工艺参数及工作状态进行连续检测和记录'}]"
"{'start': '对管线的监控', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['安全管理']}",对管线的监控应当符合什么安全管理?,"MATCH (monitoring:活动与作业 {name: '对管线的监控'})-[:应当符合]->(safety:安全管理) RETURN monitoring.name AS monitoring_name, safety.name AS safety_name","[{'monitoring_name': '对管线的监控', 'safety_name': '定期对装有阴极保护设施的管线保护电位进行测试'}, {'monitoring_name': '对管线的监控', 'safety_name': '定时巡查线路分水器，及时排放污水，并有防止冰冻的措施（四）在雨季、汛期或者其他灾害发生后加密巡查'}, {'monitoring_name': '对管线的监控', 'safety_name': '根据沿线情况定期对集输管线进行巡线检查，但每季度至少徒步巡查一次'}, {'monitoring_name': '对管线的监控', 'safety_name': '对重要工艺参数及工作状态进行连续检测和记录'}]"
"{'start': '对管线的监控', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['安全管理']}",对管线的监控应当符合什么安全管理?,"MATCH (monitoring:活动与作业 {name: '对管线的监控'})-[:应当符合]->(safety:安全管理) RETURN monitoring.name AS monitoring_name, safety.name AS safety_name","[{'monitoring_name': '对管线的监控', 'safety_name': '定期对装有阴极保护设施的管线保护电位进行测试'}, {'monitoring_name': '对管线的监控', 'safety_name': '定时巡查线路分水器，及时排放污水，并有防止冰冻的措施（四）在雨季、汛期或者其他灾害发生后加密巡查'}, {'monitoring_name': '对管线的监控', 'safety_name': '根据沿线情况定期对集输管线进行巡线检查，但每季度至少徒步巡查一次'}, {'monitoring_name': '对管线的监控', 'safety_name': '对重要工艺参数及工作状态进行连续检测和记录'}]"
"{'start': '对站场的监控', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['安全管理']}",对站场的监控应当符合什么安全管理?,"MATCH (monitoring:活动与作业 {name: '对站场的监控'})-[:应当符合]->(safety:安全管理) RETURN monitoring.name AS monitoring_name, safety.name AS safety_name","[{'monitoring_name': '对站场的监控', 'safety_name': '站场工艺装置区、计量工作间等位于爆炸危险区域内的电气设备及照明采用防爆电器，其选型、安装和电气线路的布置符合《爆炸和火灾危险环境电力装置设计规范》（GB50058）的规定'}, {'monitoring_name': '对站场的监控', 'safety_name': '定时巡查站场内的分离器，及时将污水排放，并有防止冰冻的措施'}, {'monitoring_name': '对站场的监控', 'safety_name': '压力、计量仪表灵敏准确，设备、管汇无渗漏。根据集输流程分布情况，在站场设置限压放空和压力高、低限报警设施'}]"
"{'start': '对站场的监控', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['安全管理']}",对站场的监控应当符合什么安全管理?,"MATCH (monitoring:活动与作业 {name: '对站场的监控'})-[:应当符合]->(safety:安全管理) RETURN monitoring.name AS monitoring_name, safety.name AS safety_name","[{'monitoring_name': '对站场的监控', 'safety_name': '站场工艺装置区、计量工作间等位于爆炸危险区域内的电气设备及照明采用防爆电器，其选型、安装和电气线路的布置符合《爆炸和火灾危险环境电力装置设计规范》（GB50058）的规定'}, {'monitoring_name': '对站场的监控', 'safety_name': '定时巡查站场内的分离器，及时将污水排放，并有防止冰冻的措施'}, {'monitoring_name': '对站场的监控', 'safety_name': '压力、计量仪表灵敏准确，设备、管汇无渗漏。根据集输流程分布情况，在站场设置限压放空和压力高、低限报警设施'}]"
"{'start': '对站场的监控', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['安全管理']}",对站场的监控应当符合什么安全管理?,"MATCH (monitoring:活动与作业 {name: '对站场的监控'})-[:应当符合]->(safety:安全管理) RETURN monitoring.name AS monitoring_name, safety.name AS safety_name","[{'monitoring_name': '对站场的监控', 'safety_name': '站场工艺装置区、计量工作间等位于爆炸危险区域内的电气设备及照明采用防爆电器，其选型、安装和电气线路的布置符合《爆炸和火灾危险环境电力装置设计规范》（GB50058）的规定'}, {'monitoring_name': '对站场的监控', 'safety_name': '定时巡查站场内的分离器，及时将污水排放，并有防止冰冻的措施'}, {'monitoring_name': '对站场的监控', 'safety_name': '压力、计量仪表灵敏准确，设备、管汇无渗漏。根据集输流程分布情况，在站场设置限压放空和压力高、低限报警设施'}]"
"{'start': '维护与抢修时', 'type': '应当', 'labels(a)': ['活动与作业'], 'labels(b)': ['活动与作业']}",维护与抢修时应当参与什么活动与作业?,"MATCH (activity:活动与作业 {name: '维护与抢修时'})-[:应当]->(other:活动与作业) RETURN activity.name AS activity_name, other.name AS other_name","[{'activity_name': '维护与抢修时', 'other_name': '抢修物资装备'}, {'activity_name': '维护与抢修时', 'other_name': '合理配备专职维护与抢修队伍'}, {'activity_name': '维护与抢修时', 'other_name': '制定相应的维护与抢修安全措施和实施方案'}]"
"{'start': '维护与抢修时', 'type': '应当', 'labels(a)': ['活动与作业'], 'labels(b)': ['活动与作业']}",维护与抢修时应当参与什么活动与作业?,"MATCH (activity:活动与作业 {name: '维护与抢修时'})-[:应当]->(other:活动与作业) RETURN activity.name AS activity_name, other.name AS other_name","[{'activity_name': '维护与抢修时', 'other_name': '抢修物资装备'}, {'activity_name': '维护与抢修时', 'other_name': '合理配备专职维护与抢修队伍'}, {'activity_name': '维护与抢修时', 'other_name': '制定相应的维护与抢修安全措施和实施方案'}]"
"{'start': '维护与抢修时', 'type': '应当', 'labels(a)': ['活动与作业'], 'labels(b)': ['活动与作业']}",维护与抢修时应当参与什么活动与作业?,"MATCH (activity:活动与作业 {name: '维护与抢修时'})-[:应当]->(other:活动与作业) RETURN activity.name AS activity_name, other.name AS other_name","[{'activity_name': '维护与抢修时', 'other_name': '抢修物资装备'}, {'activity_name': '维护与抢修时', 'other_name': '合理配备专职维护与抢修队伍'}, {'activity_name': '维护与抢修时', 'other_name': '制定相应的维护与抢修安全措施和实施方案'}]"
"{'start': '维护与抢修现场', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['安全管理']}",维护与抢修现场应当符合什么安全管理?,"MATCH (condition:环境与条件 {name: '维护与抢修现场'})-[:应当]->(safety:安全管理) RETURN condition.name AS condition_name, safety.name AS safety_name","[{'condition_name': '维护与抢修现场', 'safety_name': '采取保护措施，划分安全界限，设置警戒线、警示牌。进入作业场地的人员应当穿戴劳动防护用品。与作业无关的人员不得进入警戒区内'}]"
"{'start': '压缩站厂房建筑', 'type': '应当符合', 'labels(a)': ['环境与条件'], 'labels(b)': ['安全管理']}",压缩站厂房建筑应当符合什么安全管理?,"MATCH (building:环境与条件 {name: '压缩站厂房建筑'})-[:应当符合]->(safety:安全管理) RETURN building.name AS building_name, safety.name AS safety_name","[{'building_name': '压缩站厂房建筑', 'safety_name': '阀组间、压缩机等厂房设置通风设备'}, {'building_name': '压缩站厂房建筑', 'safety_name': '阀组间、压缩机等厂房的门窗向外开启，建筑面积大于100平方米的厂房至少有两个疏散门，并保持通道畅通'}, {'building_name': '压缩站厂房建筑', 'safety_name': '阀组间、压缩机等厂房使用耐火材料，采用不发火地面'}, {'building_name': '压缩站厂房建筑', 'safety_name': '压缩机地基基础满足设计载荷要求'}]"
"{'start': '压缩站厂房建筑', 'type': '应当符合', 'labels(a)': ['环境与条件'], 'labels(b)': ['安全管理']}",压缩站厂房建筑应当符合什么安全管理?,"MATCH (building:环境与条件 {name: '压缩站厂房建筑'})-[:应当符合]->(safety:安全管理) RETURN building.name AS building_name, safety.name AS safety_name","[{'building_name': '压缩站厂房建筑', 'safety_name': '阀组间、压缩机等厂房设置通风设备'}, {'building_name': '压缩站厂房建筑', 'safety_name': '阀组间、压缩机等厂房的门窗向外开启，建筑面积大于100平方米的厂房至少有两个疏散门，并保持通道畅通'}, {'building_name': '压缩站厂房建筑', 'safety_name': '阀组间、压缩机等厂房使用耐火材料，采用不发火地面'}, {'building_name': '压缩站厂房建筑', 'safety_name': '压缩机地基基础满足设计载荷要求'}]"
"{'start': '压缩站厂房建筑', 'type': '应当符合', 'labels(a)': ['环境与条件'], 'labels(b)': ['安全管理']}",压缩站厂房建筑应当符合什么安全管理?,"MATCH (building:环境与条件 {name: '压缩站厂房建筑'})-[:应当符合]->(safety:安全管理) RETURN building.name AS building_name, safety.name AS safety_name","[{'building_name': '压缩站厂房建筑', 'safety_name': '阀组间、压缩机等厂房设置通风设备'}, {'building_name': '压缩站厂房建筑', 'safety_name': '阀组间、压缩机等厂房的门窗向外开启，建筑面积大于100平方米的厂房至少有两个疏散门，并保持通道畅通'}, {'building_name': '压缩站厂房建筑', 'safety_name': '阀组间、压缩机等厂房使用耐火材料，采用不发火地面'}, {'building_name': '压缩站厂房建筑', 'safety_name': '压缩机地基基础满足设计载荷要求'}]"
"{'start': '压缩站厂房建筑', 'type': '应当符合', 'labels(a)': ['环境与条件'], 'labels(b)': ['安全管理']}",压缩站厂房建筑应当符合什么安全管理?,"MATCH (building:环境与条件 {name: '压缩站厂房建筑'})-[:应当符合]->(safety:安全管理) RETURN building.name AS building_name, safety.name AS safety_name","[{'building_name': '压缩站厂房建筑', 'safety_name': '阀组间、压缩机等厂房设置通风设备'}, {'building_name': '压缩站厂房建筑', 'safety_name': '阀组间、压缩机等厂房的门窗向外开启，建筑面积大于100平方米的厂房至少有两个疏散门，并保持通道畅通'}, {'building_name': '压缩站厂房建筑', 'safety_name': '阀组间、压缩机等厂房使用耐火材料，采用不发火地面'}, {'building_name': '压缩站厂房建筑', 'safety_name': '压缩机地基基础满足设计载荷要求'}]"
"{'start': '压缩工艺流程设计', 'type': '应当', 'labels(a)': ['活动与作业'], 'labels(b)': ['安全管理']}",压缩工艺流程设计应当参与什么安全管理?,"MATCH (process:活动与作业 {name: '压缩工艺流程设计'})-[:应当]->(safety:安全管理) RETURN process.name AS process_name, safety.name AS safety_name","[{'process_name': '压缩工艺流程设计', 'safety_name': '根据输气系统工艺要求，满足气体的除尘、分液、增压、冷却和机组的启动、停机、正常操作及安全保护等要求'}]"
"{'start': '煤层气处理后', 'type': '应当', 'labels(a)': ['活动与作业'], 'labels(b)': ['安全管理']}",煤层气处理后应当进行什么安全管理?,"MATCH (activity:活动与作业 {name: '煤层气处理后'})-[:应当]->(safety:安全管理) RETURN activity.name AS activity_name, safety.name AS safety_name","[{'activity_name': '煤层气处理后', 'safety_name': '符合压缩机组对气质的技术要求'}]"
"{'start': '压缩机', 'type': '应当符合', 'labels(a)': ['设备与工具'], 'labels(b)': ['安全管理']}",压缩机应当符合什么安全管理?,"MATCH (device:设备与工具 {name: '压缩机'})-[:应当符合]->(safety:安全管理) RETURN device.name AS device_name, safety.name AS safety_name","[{'device_name': '压缩机', 'safety_name': '在高寒地区或者风沙地区压缩机组采用封闭式厂房，其他地区采用敞开式或者半敞开式厂房'}, {'device_name': '压缩机', 'safety_name': '煤层气压缩机单排布置'}, {'device_name': '压缩机', 'safety_name': '压缩机前设置缓冲罐'}, {'device_name': '压缩机', 'safety_name': '压缩机控制系统设置压力、温度显示与保护联动装置'}, {'device_name': '压缩机', 'safety_name': '压缩机组有紧急停车和安全保护联锁装置'}]"
